arquivo_existe_no_banco,id_pedido,tipo_de_processo,cnpj,gestao_creditos_id,status_pedido,path_s3_recibo,path_s3_detalhamento,
True,14675,110938800530102511190967,ressarcimento,04678560000150,702,sucesso,None,None
False,,223467244130102511192004,ressarcimento,04678560000150,,,,
True,17985,035300335130102511192111,ressarcimento,61434510000161,906,sucesso,25084515000148/pedidos/61434510000161/ressarcimento/recibo_035300335130102511192111.pdf,25084515000148/pedidos/61434510000161/ressarcimento/035300335130102511192111.pdf
True,17983,067026187630102511193777,ressarcimento,61434510000161,906,sucesso,25084515000148/pedidos/61434510000161/ressarcimento/recibo_067026187630102511193777.pdf,25084515000148/pedidos/61434510000161/ressarcimento/067026187630102511193777.pdf
True,17987,210649912330102511190302,ressarcimento,61434510000161,906,sucesso,25084515000148/pedidos/61434510000161/ressarcimento/recibo_210649912330102511190302.pdf,25084515000148/pedidos/61434510000161/ressarcimento/210649912330102511190302.pdf
True,17986,191062835130102511191135,ressarcimento,61434510000161,906,sucesso,25084515000148/pedidos/61434510000161/ressarcimento/recibo_191062835130102511191135.pdf,25084515000148/pedidos/61434510000161/ressarcimento/191062835130102511191135.pdf
True,17984,168244511230102511197905,ressarcimento,61434510000161,906,sucesso,25084515000148/pedidos/61434510000161/ressarcimento/recibo_168244511230102511197905.pdf,25084515000148/pedidos/61434510000161/ressarcimento/168244511230102511197905.pdf
False,,008586319730102513191047,compensacao,32065029000148,,,,
False,,389128712430102513193820,compensacao,32065029000148,,,,
False,,236162312730102513190924,compensacao,32065029000148,,,,
False,,047053505030102513192949,compensacao,32065029000148,,,,
False,,306455225330102513190844,compensacao,32065029000148,,,,
False,,374969755930102513195290,compensacao,32065029000148,,,,
False,,346342153530102513199965,compensacao,32065029000148,,,,
False,,128213209530102513190369,compensacao,32065029000148,,,,
False,,241756830530102513199890,compensacao,32065029000148,,,,
False,,347622206730102513193900,compensacao,32065029000148,,,,
False,,339007269130102513199724,compensacao,32065029000148,,,,
False,,318382628430102513199549,compensacao,32065029000148,,,,
False,,104773276930102513197702,compensacao,32065029000148,,,,
False,,027166645530102513198173,compensacao,32065029000148,,,,
False,,103562505430102513195566,compensacao,32065029000148,,,,
False,,294406509130102513196304,compensacao,32065029000148,,,,
False,,398525283130102513197659,compensacao,32065029000148,,,,
True,11073,029562518730102511182389,ressarcimento,09634249000123,331,sucesso,25084515000148/pedidos/09634249000123/ressarcimento/recibo_029562518730102511182389.pdf,25084515000148/pedidos/09634249000123/ressarcimento/029562518730102511182389.pdf
True,11072,156347600130102511190450,ressarcimento,09634249000123,331,sucesso,25084515000148/pedidos/09634249000123/ressarcimento/recibo_156347600130102511190450.pdf,25084515000148/pedidos/09634249000123/ressarcimento/156347600130102511190450.pdf
True,12509,382531606230102511198883,ressarcimento,27053643000150,345,sucesso,25084515000148/pedidos/27053643000150/ressarcimento/recibo_382531606230102511198883.pdf,25084515000148/pedidos/27053643000150/ressarcimento/382531606230102511198883.pdf
True,12548,082999531330102511195075,ressarcimento,03514174000160,609,sucesso,25084515000148/pedidos/03514174000160/ressarcimento/recibo_082999531330102511195075.pdf,25084515000148/pedidos/03514174000160/ressarcimento/082999531330102511195075.pdf
True,12549,070550597330102511189980,ressarcimento,03514174000160,609,sucesso,25084515000148/pedidos/03514174000160/ressarcimento/recibo_070550597330102511189980.pdf,25084515000148/pedidos/03514174000160/ressarcimento/070550597330102511189980.pdf
True,18043,064663911830102511188338,ressarcimento,33227596000116,908,sucesso,25084515000148/pedidos/33227596000116/ressarcimento/recibo_064663911830102511188338.pdf,25084515000148/pedidos/33227596000116/ressarcimento/064663911830102511188338.pdf
True,18044,385334238730102511180667,ressarcimento,33227596000116,908,sucesso,25084515000148/pedidos/33227596000116/ressarcimento/recibo_385334238730102511180667.pdf,25084515000148/pedidos/33227596000116/ressarcimento/385334238730102511180667.pdf
True,18024,287410452730102511194220,ressarcimento,33227596000116,908,sucesso,25084515000148/pedidos/33227596000116/ressarcimento/recibo_287410452730102511194220.pdf,25084515000148/pedidos/33227596000116/ressarcimento/287410452730102511194220.pdf
True,18023,427216522530102511191990,ressarcimento,33227596000116,908,sucesso,25084515000148/pedidos/33227596000116/ressarcimento/recibo_427216522530102511191990.pdf,25084515000148/pedidos/33227596000116/ressarcimento/427216522530102511191990.pdf
False,,141722779030102513197344,compensacao,45462544000103,,,,
False,,042929429430102513193017,compensacao,45462544000103,,,,
False,,086728419930102513198664,compensacao,45462544000103,,,,
False,,269020921930102513191704,compensacao,45462544000103,,,,
True,18785,372974584730102511196591,ressarcimento,15346045000190,928,sucesso,25084515000148/pedidos/15346045000190/ressarcimento/recibo_372974584730102511196591.pdf,25084515000148/pedidos/15346045000190/ressarcimento/372974584730102511196591.pdf
False,,305526227530102513197972,compensacao,37173124000189,,,,
False,,362005059030102513197333,compensacao,37173124000189,,,,
False,,327626550830102513199570,compensacao,37173124000189,,,,
False,,279627490730102513192831,compensacao,37173124000189,,,,
False,,191185652230102513195980,compensacao,37173124000189,,,,
False,,357137302830102513190758,compensacao,37173124000189,,,,
False,,110454648830102513197969,compensacao,37173124000189,,,,
False,,191973869630102513195100,compensacao,37173124000189,,,,
False,,331217474230102513193601,compensacao,37173124000189,,,,
True,18897,034331786430102511192143,ressarcimento,03334921000189,957,sucesso,25084515000148/pedidos/03334921000189/ressarcimento/recibo_034331786430102511192143.pdf,25084515000148/pedidos/03334921000189/ressarcimento/034331786430102511192143.pdf
False,,362954920831102511194797,ressarcimento,03334921000189,,,,
False,,274161539331102511196648,ressarcimento,03334921000189,,,,
False,,049597511531102511190332,ressarcimento,03334921000189,,,,
