folder,
"{'numero': '03334921000189', 'is_cpf': False}",
"{'numero': '03514174000160', 'is_cpf': False}",
"{'numero': '04678560000150', 'is_cpf': False}",
"{'numero': '05213396000179', 'is_cpf': False}",
"{'numero': '06227913000121', 'is_cpf': False}",
"{'numero': '09634249000123', 'is_cpf': False}",
"{'numero': '10532304000153', 'is_cpf': False}",
"{'numero': '15346045000190', 'is_cpf': False}",
"{'numero': '23265561000118', 'is_cpf': False}",
"{'numero': '23919308000130', 'is_cpf': False}",
"{'numero': '27053643000150', 'is_cpf': False}",
"{'numero': '32065029000148', 'is_cpf': False}",
"{'numero': '33227596000116', 'is_cpf': False}",
"{'numero': '37173124000189', 'is_cpf': False}",
"{'numero': '45157278000105', 'is_cpf': False}",
"{'numero': '45462544000103', 'is_cpf': False}",
"{'numero': '61434510000161', 'is_cpf': False}",
"{'numero': '79827143000121', 'is_cpf': False}",